name,generate_part1,generate_part2,generate_part3,update_link,type,rank
Ligue_1,https://fbref.com/en/comps/13/,/schedule/,-Ligue-1-Scores-and-Fixtures,https://fbref.com/en/comps/13/schedule/Ligue-1-Scores-and-Fixtures,winter,1
La_Liga,https://fbref.com/en/comps/12/,/schedule/,-La-Liga-Scores-and-Fixtures,https://fbref.com/en/comps/12/schedule/La-Liga-Scores-and-Fixtures,winter,2
Premier_League,https://fbref.com/en/comps/9/,/schedule/,-Premier-League-Scores-and-Fixtures,https://fbref.com/en/comps/9/schedule/Premier-League-Scores-and-Fixtures,winter,3
Bundesliga,https://fbref.com/en/comps/20/,/schedule/,-Bundesliga-Scores-and-Fixtures,https://fbref.com/en/comps/20/schedule/Bundesliga-Scores-and-Fixtures,winter,4
Serie_A,https://fbref.com/en/comps/11/,/schedule/,-Serie-A-Scores-and-Fixtures,https://fbref.com/en/comps/11/schedule/Serie-A-Scores-and-Fixtures,winter,5
UEFA_Champions_League,https://fbref.com/en/comps/8/,/schedule/,-Champions-League-Scores-and-Fixtures,https://fbref.com/en/comps/8/schedule/Champions-League-Scores-and-Fixtures,winter,6
UEFA_Europa_League,https://fbref.com/en/comps/19/,/schedule/,-Europa-League-Scores-and-Fixtures,https://fbref.com/en/comps/19/schedule/Europa-League-Scores-and-Fixtures,winter,7
UEFA_Europa_Conference_League,https://fbref.com/en/comps/882/,/schedule/,-Europa-Conference-League-Scores-and-Fixtures,https://fbref.com/en/comps/882/schedule/Europa-Conference-League-Scores-and-Fixtures,winter,8
La_Liga_2,https://fbref.com/en/comps/17/,/schedule/,-Segunda-Division-Scores-and-Fixtures,https://fbref.com/en/comps/17/schedule/Segunda-Division-Scores-and-Fixtures,winter,9
Championship,https://fbref.com/en/comps/10/,/schedule/,-Championship-Scores-and-Fixtures,https://fbref.com/en/comps/10/schedule/Championship-Scores-and-Fixtures,winter,10
Primeira_Liga,https://fbref.com/en/comps/32/,/schedule/,-Primeira-Liga-Scores-and-Fixtures,https://fbref.com/en/comps/32/schedule/Primeira-Liga-Scores-and-Fixtures,winter,11
Eredivisie,https://fbref.com/en/comps/23/,/schedule/,-Eredivisie-Scores-and-Fixtures,https://fbref.com/en/comps/23/schedule/Eredivisie-Scores-and-Fixtures,winter,12
Ligue_2,https://fbref.com/en/comps/60/,/schedule/,-Ligue-2-Scores-and-Fixtures,https://fbref.com/en/comps/60/schedule/Ligue-2-Scores-and-Fixtures,winter,13
2_Bundesliga,https://fbref.com/en/comps/33/,/schedule/,-2-Bundesliga-Scores-and-Fixtures,https://fbref.com/en/comps/33/schedule/2-Bundesliga-Scores-and-Fixtures,winter,14
Eerste_Divisie,https://fbref.com/en/comps/51/,/schedule/,-Eerste-Divisie-Scores-and-Fixtures,https://fbref.com/en/comps/51/schedule/Eerste-Divisie-Scores-and-Fixtures,winter,15
Scottish_Championship,https://fbref.com/en/comps/72/,/schedule/,-Scottish-Championship-Scores-and-Fixtures,https://fbref.com/en/comps/72/schedule/Scottish-Championship-Scores-and-Fixtures,winter,16
Belgian_Pro_League,https://fbref.com/en/comps/37/,/schedule/,-Belgian-First-Division-A-Scores-and-Fixtures,https://fbref.com/en/comps/37/schedule/Belgian-Pro-League-Scores-and-Fixtures,winter,17
